underlying,week_start,week_end,pnl,spot_start,spot_end,move_pct,trailing_vol,short_target,breached_short,breach_amount
AAPL,2026-06-01,2026-06-05,65.91999999999825,306.31,307.34,0.0033626065097449405,0.17244552926317108,300.78036228881115,False,0.0
AAPL,2026-06-08,2026-06-12,-299.13400000000547,301.54,291.13,-0.03452278304702535,0.1855880272367561,295.6816077142113,True,4.551607714211286
AAPL,2026-06-15,2026-06-18,44.95350000000326,296.42,298.01,0.005364010525605475,0.2391382499925872,289.9935557427954,False,0.0
AAPL,2026-06-22,2026-06-26,-435.0774999999994,297.01,283.78,-0.044543954748998416,0.24892931452448216,289.2701832484713,True,5.4901832484713395
AAPL,2026-06-29,2026-07-02,34.95549999999639,281.74,308.63,0.09544260665862138,0.34423383727113477,272.94742131576334,False,0.0
AAPL,2026-07-06,2026-07-10,21.96600000000035,312.66,315.32,0.008507644086227749,0.3867341429280203,300.0019034904488,False,0.0
AAPL,2026-07-13,2026-07-17,25.961999999999534,317.31,333.74,0.051779017364722214,0.3535565264536998,305.5657258380753,False,0.0
AAPL,2026-07-20,2026-07-24,49.927999999999884,326.59,333.02,0.019688294191493944,0.3642272522465898,314.13743309771115,False,0.0
AAPL,2026-07-27,2026-07-31,-383.2365000000136,336.91,308.91,-0.083108248493663,0.2968768777546665,326.43934526831987,True,17.529345268319844
AAPL,2026-08-03,2026-08-07,0.0,303.42,313.33,0.03266099795662767,0.3733125943408808,291.56230134320816,False,0.0
AAPL,2026-08-10,2026-08-14,14.978499999997439,308.26,305.93,-0.007558554467008318,0.379992455012794,295.9975934410285,False,0.0
AAPL,2026-08-17,2026-08-21,22.972500000003492,305.59,309.35,0.0123040675414773,0.34780753959312294,294.4634200196744,False,0.0
AAPL,2026-08-24,2026-08-28,31.962999999988824,310.34,319.7,0.03016046916285369,0.3331523147319015,299.51658890077215,False,0.0
MSFT,2026-06-01,2026-06-05,-385.3024999999907,460.52,416.67,-0.09521844871015367,0.28030161457760316,447.00681698048317,True,30.33681698048315
MSFT,2026-06-08,2026-06-12,-393.08150000000023,411.74,390.74,-0.05100306018361102,0.3623087643148791,396.12343678830337,True,5.3834367883033565
MSFT,2026-06-15,2026-06-18,-440.1050000000105,399.76,379.4,-0.050930558335001035,0.37125773769516773,386.30483445412415,True,6.90483445412417
MSFT,2026-06-22,2026-06-26,51.91799999999057,367.34,372.97,0.01532640060978944,0.3818065556428175,352.65766374456695,False,0.0
MSFT,2026-06-29,2026-07-02,36.943499999993946,368.57,390.49,0.05947309873294087,0.45390920223798054,353.40287852178704,False,0.0
